,0,1,2,3,4,5,6,7,8,9,10
4423,Earthshaker,Templar Assassin,Lina,Kunkka,Drow Ranger,Enigma,Storm Spirit,Tiny,Shadow Fiend,Mirana,2
4424,Morphling,Jakiro,Ancient Apparition,Anti-Mage,Slardar,Queen of Pain,Skeleton King,Mirana,Axe,Ogre Magi,2
4425,Faceless Void,Lifestealer,Windrunner,Vengeful Spirit,Nyx Assassin,Lone Druid,Sniper,Shadow Fiend,Axe,Pugna,1
4426,Keeper of the Light,Broodmother,Luna,Undying,Pugna,Mirana,Bounty Hunter,Slardar,Enchantress,Nyx Assassin,2
4427,Phantom Lancer,Invoker,Timbersaw,Axe,Mirana,Queen of Pain,Bounty Hunter,Bloodseeker,Leshrac,Ogre Magi,2
4428,Nyx Assassin,Alchemist,Earthshaker,Sven,Mirana,Tidehunter,Venomancer,Silencer,Templar Assassin,Skeleton King,2
4429,Rubick,Enchantress,Nature's Prophet,Weaver,Skeleton King,Brewmaster,Clockwerk,Treant Protector,Enigma,Medusa,2
4430,Gyrocopter,Clinkz,Lifestealer,Sand King,Windrunner,Invoker,Pudge,Nature's Prophet,Necrolyte,Storm Spirit,1
4431,Sniper,Shadow Fiend,Crystal Maiden,Treant Protector,Puck,Troll Warlord,Necrolyte,Medusa,Omniknight,Ursa,2
4432,Lone Druid,Medusa,Gyrocopter,Tiny,Batrider,Jakiro,Nyx Assassin,Templar Assassin,Alchemist,Crystal Maiden,2
4433,Tidehunter,Huskar,Silencer,Spectre,Wisp,Skeleton King,Slark,Razor,Ursa,Dragon Knight,2
4434,Clinkz,Templar Assassin,Puck,Tidehunter,Clockwerk,Dazzle,Brewmaster,Queen of Pain,Slark,Phantom Assassin,1
4435,Shadow Shaman,Death Prophet,Mirana,Jakiro,Gyrocopter,Spirit Breaker,Nature's Prophet,Warlock,Windrunner,Viper,2
4436,Medusa,Leshrac,Undying,Wisp,Lich,Axe,Bane,Lone Druid,Tidehunter,Spirit Breaker,2
4437,Tiny,Ogre Magi,Juggernaut,Rubick,Wisp,Visage,Necrolyte,Warlock,Magnus,Shadow Fiend,2
4438,Shadow Demon,Tiny,Dazzle,Mirana,Clockwerk,Gyrocopter,Rubick,Doom,Magnus,Windrunner,1
4439,Kunkka,Ursa,Nature's Prophet,Broodmother,Spirit Breaker,Venomancer,Bane,Gyrocopter,Lion,Shadow Demon,1
4440,Brewmaster,Lone Druid,Chen,Storm Spirit,Razor,Queen of Pain,Naga Siren,Meepo,Magnus,Gyrocopter,1
4441,Rubick,Death Prophet,Zeus,Anti-Mage,Dark Seer,Pudge,Weaver,Broodmother,Tidehunter,Crystal Maiden,2
4442,Viper,Ancient Apparition,Nyx Assassin,Tidehunter,Storm Spirit,Nature's Prophet,Invoker,Beastmaster,Keeper of the Light,Phantom Lancer,1
4443,Mirana,Kunkka,Bane,Clinkz,Spirit Breaker,Earthshaker,Bounty Hunter,Magnus,Shadow Fiend,Tiny,1
4444,Storm Spirit,Crystal Maiden,Chaos Knight,Medusa,Disruptor,Tiny,Wisp,Invoker,Slark,Lina,2
4445,Venomancer,Pudge,Undying,Centaur Warrunner,Juggernaut,Shadow Fiend,Lifestealer,Lina,Ogre Magi,Broodmother,1
4446,Tiny,Bounty Hunter,Warlock,Clinkz,Lina,Night Stalker,Riki,Leshrac,Silencer,Lycanthrope,1
4447,Queen of Pain,Riki,Keeper of the Light,Kunkka,Wisp,Bounty Hunter,Doom,Zeus,Centaur Warrunner,Drow Ranger,2
4448,Weaver,Axe,Juggernaut,Leshrac,Invoker,Shadow Demon,Storm Spirit,Lone Druid,Chaos Knight,Enchantress,1
4449,Lich,Omniknight,Templar Assassin,Storm Spirit,Windrunner,Lina,Nyx Assassin,Bloodseeker,Earthshaker,Wisp,2
4450,Invoker,Silencer,Disruptor,Slardar,Phantom Assassin,Mirana,Drow Ranger,Windrunner,Visage,Templar Assassin,2
4451,Nyx Assassin,Clockwerk,Lifestealer,Viper,Chen,Disruptor,Invoker,Rubick,Luna,Bounty Hunter,1
4452,Tiny,Windrunner,Morphling,Batrider,Tidehunter,Crystal Maiden,Juggernaut,Storm Spirit,Tinker,Dark Seer,1
4453,Queen of Pain,Keeper of the Light,Lifestealer,Tidehunter,Invoker,Dazzle,Doom,Beastmaster,Tinker,Sven,2
4454,Phantom Assassin,Shadow Demon,Slardar,Outworld Devourer,Windrunner,Silencer,Lifestealer,Pudge,Lina,Sven,2
4455,Weaver,Naga Siren,Queen of Pain,Anti-Mage,Omniknight,Gyrocopter,Razor,Disruptor,Doom,Puck,1
4456,Lone Druid,Queen of Pain,Clinkz,Medusa,Necrolyte,Lion,Witch Doctor,Doom,Templar Assassin,Spirit Breaker,1
4457,Clinkz,Dragon Knight,Disruptor,Windrunner,Storm Spirit,Keeper of the Light,Drow Ranger,Tidehunter,Slark,Wisp,2
4458,Gyrocopter,Enigma,Templar Assassin,Ogre Magi,Clockwerk,Faceless Void,Kunkka,Huskar,Batrider,Lifestealer,1
4459,Nature's Prophet,Nyx Assassin,Spectre,Rubick,Clockwerk,Queen of Pain,Luna,Huskar,Venomancer,Lion,2
4460,Pudge,Earthshaker,Razor,Skeleton King,Keeper of the Light,Queen of Pain,Lifestealer,Jakiro,Troll Warlord,Disruptor,2
4461,Pugna,Night Stalker,Magnus,Skeleton King,Chaos Knight,Shadow Fiend,Weaver,Omniknight,Kunkka,Brewmaster,2
4462,Bounty Hunter,Magnus,Queen of Pain,Disruptor,Anti-Mage,Storm Spirit,Spectre,Tinker,Venomancer,Clockwerk,1
4463,Templar Assassin,Vengeful Spirit,Lich,Slardar,Faceless Void,Medusa,Bounty Hunter,Beastmaster,Queen of Pain,Crystal Maiden,2
4464,Sand King,Tinker,Kunkka,Earthshaker,Razor,Pudge,Rubick,Lone Druid,Windrunner,Nyx Assassin,1
4465,Wisp,Chaos Knight,Warlock,Clinkz,Phantom Assassin,Nature's Prophet,Bounty Hunter,Storm Spirit,Lifestealer,Disruptor,1
4466,Windrunner,Rubick,Magnus,Huskar,Invoker,Bounty Hunter,Omniknight,Bane,Pudge,Bloodseeker,1
4467,Skeleton King,Juggernaut,Witch Doctor,Ancient Apparition,Treant Protector,Lone Druid,Invoker,Nyx Assassin,Undying,Alchemist,2
4468,Earthshaker,Sand King,Death Prophet,Lina,Naga Siren,Windrunner,Slark,Puck,Doom,Disruptor,2
4469,Dazzle,Bounty Hunter,Sven,Keeper of the Light,Tidehunter,Axe,Storm Spirit,Pudge,Doom,Windrunner,1
4470,Phantom Assassin,Witch Doctor,Sniper,Puck,Pugna,Tinker,Brewmaster,Wisp,Anti-Mage,Nature's Prophet,2
4471,Viper,Gyrocopter,Dark Seer,Nyx Assassin,Naga Siren,Axe,Invoker,Bounty Hunter,Beastmaster,Lina,1
4472,Invoker,Sven,Faceless Void,Dragon Knight,Pudge,Broodmother,Disruptor,Razor,Lone Druid,Ogre Magi,2
4473,Night Stalker,Rubick,Sven,Nyx Assassin,Lone Druid,Enigma,Lion,Viper,Wisp,Brewmaster,1
4474,Anti-Mage,Bounty Hunter,Batrider,Earthshaker,Invoker,Windrunner,Night Stalker,Shadow Fiend,Rubick,Phantom Lancer,1
4475,Slark,Rubick,Leshrac,Storm Spirit,Luna,Pudge,Spectre,Gyrocopter,Lone Druid,Sand King,1
4476,Enchantress,Troll Warlord,Bloodseeker,Ancient Apparition,Tiny,Visage,Lone Druid,Pudge,Spirit Breaker,Lion,1
4477,Pudge,Nature's Prophet,Visage,Ursa,Necrolyte,Outworld Devourer,Lina,Lion,Troll Warlord,Naga Siren,2
4478,Clinkz,Pudge,Dark Seer,Chaos Knight,Leshrac,Bounty Hunter,Queen of Pain,Shadow Shaman,Wisp,Ursa,2
4479,Pudge,Clinkz,Nature's Prophet,Windrunner,Keeper of the Light,Medusa,Templar Assassin,Magnus,Crystal Maiden,Queen of Pain,1
4480,Batrider,Faceless Void,Treant Protector,Meepo,Sniper,Crystal Maiden,Pudge,Clinkz,Nature's Prophet,Shadow Fiend,2
4481,Jakiro,Disruptor,Drow Ranger,Zeus,Tiny,Slark,Lone Druid,Rubick,Windrunner,Crystal Maiden,1
4482,Queen of Pain,Lifestealer,Undying,Bane,Shadow Fiend,Omniknight,Lina,Faceless Void,Nature's Prophet,Kunkka,2
4483,Gyrocopter,Invoker,Vengeful Spirit,Faceless Void,Lina,Juggernaut,Storm Spirit,Leshrac,Sven,Ancient Apparition,2
4484,Warlock,Clinkz,Puck,Beastmaster,Skeleton King,Tidehunter,Lion,Necrolyte,Sniper,Slardar,1
4485,Doom,Night Stalker,Troll Warlord,Shadow Shaman,Lifestealer,Juggernaut,Puck,Phantom Lancer,Undying,Shadow Demon,2
4486,Invoker,Mirana,Keeper of the Light,Phantom Lancer,Chen,Puck,Lina,Timbersaw,Shadow Demon,Faceless Void,2
4487,Kunkka,Axe,Enchantress,Gyrocopter,Shadow Fiend,Naga Siren,Broodmother,Ancient Apparition,Sniper,Pudge,1
4488,Rubick,Centaur Warrunner,Kunkka,Windrunner,Viper,Disruptor,Chaos Knight,Bounty Hunter,Nyx Assassin,Jakiro,1
4489,Pugna,Storm Spirit,Razor,Sven,Batrider,Shadow Shaman,Viper,Lion,Luna,Beastmaster,2
4490,Undying,Axe,Tiny,Lina,Drow Ranger,Lion,Shadow Fiend,Crystal Maiden,Tinker,Viper,2
4491,Venomancer,Lone Druid,Night Stalker,Riki,Juggernaut,Windrunner,Crystal Maiden,Sand King,Anti-Mage,Nyx Assassin,1
4492,Lifestealer,Windrunner,Disruptor,Sand King,Bloodseeker,Outworld Devourer,Keeper of the Light,Faceless Void,Tiny,Puck,1
4493,Nature's Prophet,Rubick,Faceless Void,Tiny,Bloodseeker,Vengeful Spirit,Queen of Pain,Bounty Hunter,Invoker,Magnus,2
4494,Earthshaker,Jakiro,Queen of Pain,Naga Siren,Clockwerk,Shadow Shaman,Bounty Hunter,Undying,Night Stalker,Weaver,1
4495,Templar Assassin,Lifestealer,Shadow Shaman,Meepo,Keeper of the Light,Doom,Anti-Mage,Windrunner,Shadow Demon,Sand King,1
4496,Visage,Tinker,Keeper of the Light,Slark,Nyx Assassin,Luna,Clinkz,Lion,Juggernaut,Bounty Hunter,1
4497,Axe,Invoker,Drow Ranger,Shadow Shaman,Anti-Mage,Tidehunter,Jakiro,Keeper of the Light,Queen of Pain,Phantom Lancer,2
4498,Tiny,Phantom Lancer,Shadow Demon,Clockwerk,Beastmaster,Death Prophet,Slardar,Sniper,Enigma,Clinkz,1
4499,Zeus,Witch Doctor,Windrunner,Leshrac,Chaos Knight,Centaur Warrunner,Ancient Apparition,Pudge,Phantom Lancer,Keeper of the Light,2
4500,Invoker,Keeper of the Light,Phantom Lancer,Huskar,Dark Seer,Alchemist,Sand King,Mirana,Shadow Fiend,Earthshaker,2
4501,Bounty Hunter,Outworld Devourer,Rubick,Slark,Ogre Magi,Keeper of the Light,Bloodseeker,Windrunner,Templar Assassin,Sven,1
4502,Bounty Hunter,Doom,Invoker,Crystal Maiden,Centaur Warrunner,Lifestealer,Death Prophet,Shadow Fiend,Leshrac,Jakiro,1
4503,Silencer,Venomancer,Rubick,Storm Spirit,Alchemist,Outworld Devourer,Drow Ranger,Chaos Knight,Slark,Warlock,2
4504,Queen of Pain,Clinkz,Lina,Sven,Chaos Knight,Centaur Warrunner,Drow Ranger,Pudge,Anti-Mage,Ogre Magi,1
4505,Shadow Fiend,Tidehunter,Death Prophet,Bane,Anti-Mage,Pudge,Beastmaster,Clinkz,Keeper of the Light,Axe,2
4506,Drow Ranger,Riki,Crystal Maiden,Pudge,Magnus,Omniknight,Timbersaw,Phantom Assassin,Shadow Fiend,Night Stalker,1
4507,Centaur Warrunner,Shadow Demon,Bane,Broodmother,Lycanthrope,Nature's Prophet,Nyx Assassin,Slark,Templar Assassin,Doom,1
4508,Centaur Warrunner,Keeper of the Light,Spectre,Naga Siren,Invoker,Alchemist,Sand King,Riki,Warlock,Storm Spirit,2
4509,Spirit Breaker,Visage,Clockwerk,Nyx Assassin,Chaos Knight,Viper,Dragon Knight,Centaur Warrunner,Night Stalker,Rubick,2
4510,Jakiro,Bounty Hunter,Huskar,Chen,Magnus,Lion,Windrunner,Gyrocopter,Pudge,Troll Warlord,2
4511,Alchemist,Venomancer,Night Stalker,Gyrocopter,Ogre Magi,Faceless Void,Invoker,Nyx Assassin,Disruptor,Jakiro,1
4512,Axe,Shadow Fiend,Crystal Maiden,Treant Protector,Invoker,Nature's Prophet,Windrunner,Necrolyte,Lina,Pudge,2
4513,Medusa,Axe,Shadow Fiend,Clockwerk,Puck,Ogre Magi,Witch Doctor,Nyx Assassin,Pudge,Phantom Lancer,2
4514,Night Stalker,Doom,Windrunner,Huskar,Lifestealer,Juggernaut,Lone Druid,Rubick,Tinker,Puck,1
4515,Queen of Pain,Drow Ranger,Vengeful Spirit,Lifestealer,Timbersaw,Windrunner,Shadow Demon,Phantom Assassin,Pudge,Ancient Apparition,1
4516,Templar Assassin,Ursa,Luna,Lina,Dazzle,Keeper of the Light,Undying,Centaur Warrunner,Invoker,Phantom Lancer,2
4517,Puck,Bloodseeker,Axe,Dazzle,Troll Warlord,Anti-Mage,Chen,Centaur Warrunner,Phantom Lancer,Kunkka,2
4518,Undying,Mirana,Slark,Zeus,Pudge,Bounty Hunter,Queen of Pain,Visage,Batrider,Jakiro,2
4519,Storm Spirit,Lone Druid,Beastmaster,Centaur Warrunner,Skeleton King,Jakiro,Anti-Mage,Lion,Windrunner,Invoker,2
4520,Enchantress,Lone Druid,Nyx Assassin,Razor,Drow Ranger,Undying,Earthshaker,Night Stalker,Venomancer,Tidehunter,1
4521,Beastmaster,Sand King,Enchantress,Crystal Maiden,Earthshaker,Weaver,Drow Ranger,Lion,Axe,Windrunner,2
4522,Drow Ranger,Lich,Silencer,Storm Spirit,Undying,Phantom Assassin,Batrider,Timbersaw,Puck,Pudge,2
4523,Beastmaster,Magnus,Gyrocopter,Venomancer,Morphling,Bloodseeker,Lina,Tiny,Juggernaut,Shadow Shaman,2
4524,Tinker,Phantom Lancer,Keeper of the Light,Phantom Assassin,Lina,Shadow Fiend,Sand King,Tidehunter,Gyrocopter,Silencer,2
4525,Leshrac,Crystal Maiden,Shadow Demon,Spirit Breaker,Faceless Void,Warlock,Drow Ranger,Rubick,Lone Druid,Witch Doctor,2
4526,Invoker,Beastmaster,Rubick,Dragon Knight,Nature's Prophet,Troll Warlord,Silencer,Brewmaster,Windrunner,Ancient Apparition,1
4527,Slark,Doom,Rubick,Kunkka,Spirit Breaker,Leshrac,Anti-Mage,Phantom Lancer,Viper,Troll Warlord,2
4528,Pudge,Bounty Hunter,Ursa,Phantom Lancer,Earthshaker,Faceless Void,Windrunner,Shadow Fiend,Rubick,Axe,1
4529,Naga Siren,Night Stalker,Puck,Skeleton King,Razor,Queen of Pain,Lich,Axe,Spectre,Sniper,2
4530,Troll Warlord,Lycanthrope,Pugna,Razor,Venomancer,Dragon Knight,Weaver,Pudge,Spectre,Lifestealer,1
4531,Mirana,Enigma,Windrunner,Naga Siren,Crystal Maiden,Bounty Hunter,Viper,Axe,Shadow Fiend,Rubick,2
4532,Storm Spirit,Lone Druid,Batrider,Bane,Pudge,Shadow Shaman,Rubick,Troll Warlord,Wisp,Riki,2
4533,Sand King,Windrunner,Slark,Disruptor,Invoker,Nyx Assassin,Bloodseeker,Doom,Jakiro,Riki,1
4534,Nature's Prophet,Keeper of the Light,Invoker,Mirana,Night Stalker,Clockwerk,Necrolyte,Wisp,Lifestealer,Windrunner,1
4535,Treant Protector,Silencer,Bane,Death Prophet,Dark Seer,Queen of Pain,Luna,Disruptor,Huskar,Razor,2
4536,Lifestealer,Lich,Nature's Prophet,Pudge,Bloodseeker,Queen of Pain,Nyx Assassin,Clinkz,Gyrocopter,Faceless Void,2
4537,Dazzle,Slark,Undying,Invoker,Dark Seer,Axe,Spirit Breaker,Lina,Queen of Pain,Lion,1
4538,Riki,Huskar,Enigma,Lich,Shadow Fiend,Drow Ranger,Night Stalker,Tidehunter,Disruptor,Batrider,2
4539,Magnus,Enigma,Mirana,Chen,Phantom Lancer,Gyrocopter,Dark Seer,Clockwerk,Templar Assassin,Pudge,2
4540,Puck,Nature's Prophet,Gyrocopter,Invoker,Ogre Magi,Nyx Assassin,Pugna,Undying,Clinkz,Leshrac,1
4541,Axe,Queen of Pain,Clockwerk,Lina,Clinkz,Anti-Mage,Disruptor,Venomancer,Silencer,Centaur Warrunner,2
4542,Bounty Hunter,Axe,Dazzle,Lycanthrope,Gyrocopter,Nature's Prophet,Weaver,Invoker,Jakiro,Timbersaw,1
4543,Templar Assassin,Jakiro,Storm Spirit,Undying,Night Stalker,Skeleton King,Venomancer,Pudge,Sand King,Lifestealer,1
4544,Sand King,Beastmaster,Lone Druid,Storm Spirit,Windrunner,Wisp,Brewmaster,Vengeful Spirit,Tinker,Anti-Mage,1
4545,Faceless Void,Warlock,Windrunner,Troll Warlord,Pudge,Invoker,Jakiro,Magnus,Dazzle,Shadow Fiend,2
4546,Storm Spirit,Tidehunter,Enchantress,Jakiro,Lifestealer,Weaver,Windrunner,Earthshaker,Death Prophet,Shadow Shaman,1
4547,Lina,Lifestealer,Chaos Knight,Huskar,Bounty Hunter,Chen,Meepo,Pudge,Kunkka,Invoker,1
4548,Skeleton King,Huskar,Sand King,Shadow Fiend,Visage,Lion,Nyx Assassin,Slardar,Ogre Magi,Juggernaut,2
4549,Batrider,Spirit Breaker,Dazzle,Ursa,Undying,Sven,Leshrac,Phantom Lancer,Juggernaut,Lina,1
4550,Necrolyte,Riki,Keeper of the Light,Slardar,Dragon Knight,Warlock,Mirana,Storm Spirit,Vengeful Spirit,Drow Ranger,2
4551,Keeper of the Light,Puck,Silencer,Troll Warlord,Phantom Lancer,Sniper,Outworld Devourer,Windrunner,Lone Druid,Pugna,1
4552,Lifestealer,Nature's Prophet,Wisp,Centaur Warrunner,Pudge,Chaos Knight,Bounty Hunter,Storm Spirit,Necrolyte,Mirana,1
4553,Lycanthrope,Windrunner,Enigma,Venomancer,Brewmaster,Kunkka,Anti-Mage,Pudge,Keeper of the Light,Rubick,2
4554,Rubick,Luna,Omniknight,Morphling,Chaos Knight,Wisp,Slardar,Chen,Spirit Breaker,Bounty Hunter,2
4555,Rubick,Lifestealer,Tidehunter,Weaver,Juggernaut,Chaos Knight,Lion,Faceless Void,Warlock,Slark,2
4556,Clinkz,Earthshaker,Enigma,Shadow Fiend,Phantom Lancer,Pudge,Kunkka,Shadow Shaman,Bounty Hunter,Undying,1
4557,Kunkka,Pudge,Windrunner,Silencer,Tidehunter,Brewmaster,Mirana,Gyrocopter,Undying,Necrolyte,1
4558,Earthshaker,Weaver,Pudge,Doom,Phantom Lancer,Nature's Prophet,Lion,Medusa,Kunkka,Luna,2
4559,Nature's Prophet,Dark Seer,Lina,Invoker,Faceless Void,Sven,Gyrocopter,Leshrac,Phantom Assassin,Clinkz,2
4560,Nyx Assassin,Lifestealer,Invoker,Bloodseeker,Windrunner,Nature's Prophet,Ancient Apparition,Drow Ranger,Beastmaster,Night Stalker,1
4561,Pudge,Wisp,Witch Doctor,Lifestealer,Leshrac,Death Prophet,Mirana,Undying,Chen,Faceless Void,1
4562,Pudge,Phantom Lancer,Slark,Ursa,Crystal Maiden,Invoker,Enigma,Mirana,Bounty Hunter,Earthshaker,2
4563,Spectre,Windrunner,Clockwerk,Nyx Assassin,Lifestealer,Rubick,Keeper of the Light,Skeleton King,Dragon Knight,Outworld Devourer,2
4564,Medusa,Omniknight,Necrolyte,Mirana,Bounty Hunter,Dragon Knight,Crystal Maiden,Storm Spirit,Nyx Assassin,Anti-Mage,2
4565,Lion,Timbersaw,Batrider,Anti-Mage,Bounty Hunter,Gyrocopter,Skeleton King,Broodmother,Jakiro,Shadow Fiend,1
4566,Queen of Pain,Phantom Lancer,Shadow Demon,Lina,Windrunner,Nyx Assassin,Magnus,Tiny,Nature's Prophet,Warlock,2
4567,Slark,Morphling,Sven,Nature's Prophet,Shadow Shaman,Silencer,Spirit Breaker,Meepo,Mirana,Doom,1
4568,Nature's Prophet,Chaos Knight,Sand King,Anti-Mage,Weaver,Chen,Dark Seer,Batrider,Skeleton King,Alchemist,2
4569,Lina,Queen of Pain,Axe,Tiny,Weaver,Nature's Prophet,Gyrocopter,Shadow Demon,Windrunner,Slark,1
4570,Bane,Huskar,Ursa,Storm Spirit,Nyx Assassin,Leshrac,Phantom Lancer,Keeper of the Light,Treant Protector,Slark,1
4571,Riki,Venomancer,Shadow Demon,Mirana,Queen of Pain,Troll Warlord,Warlock,Kunkka,Clockwerk,Slark,1
4572,Naga Siren,Spirit Breaker,Huskar,Sand King,Phantom Assassin,Kunkka,Shadow Fiend,Bane,Lifestealer,Nature's Prophet,1
4573,Viper,Kunkka,Clinkz,Lion,Axe,Silencer,Jakiro,Doom,Shadow Fiend,Pudge,2
4574,Nature's Prophet,Keeper of the Light,Gyrocopter,Viper,Storm Spirit,Dragon Knight,Invoker,Weaver,Dazzle,Vengeful Spirit,2
4575,Slardar,Puck,Phantom Assassin,Medusa,Mirana,Visage,Pudge,Tiny,Skeleton King,Bounty Hunter,2
4576,Mirana,Storm Spirit,Lifestealer,Timbersaw,Gyrocopter,Troll Warlord,Kunkka,Shadow Shaman,Jakiro,Weaver,1
4577,Queen of Pain,Sniper,Omniknight,Shadow Fiend,Keeper of the Light,Nature's Prophet,Phantom Lancer,Venomancer,Beastmaster,Invoker,2
4578,Lifestealer,Ursa,Windrunner,Puck,Axe,Queen of Pain,Spirit Breaker,Shadow Demon,Skeleton King,Ogre Magi,2
4579,Lycanthrope,Shadow Demon,Nyx Assassin,Rubick,Pudge,Undying,Pugna,Spirit Breaker,Anti-Mage,Crystal Maiden,1
4580,Spectre,Earthshaker,Storm Spirit,Lich,Shadow Fiend,Medusa,Undying,Invoker,Disruptor,Luna,1
4581,Gyrocopter,Nature's Prophet,Pugna,Bloodseeker,Keeper of the Light,Visage,Templar Assassin,Nyx Assassin,Puck,Tinker,2
4582,Spectre,Invoker,Magnus,Axe,Shadow Shaman,Lone Druid,Queen of Pain,Phantom Lancer,Keeper of the Light,Death Prophet,1
4583,Shadow Demon,Batrider,Lich,Juggernaut,Mirana,Spectre,Nyx Assassin,Rubick,Crystal Maiden,Medusa,1
4584,Magnus,Earthshaker,Nyx Assassin,Dazzle,Anti-Mage,Shadow Fiend,Vengeful Spirit,Warlock,Faceless Void,Nature's Prophet,2
4585,Lifestealer,Nature's Prophet,Chaos Knight,Axe,Invoker,Dark Seer,Sniper,Naga Siren,Jakiro,Wisp,2
4586,Puck,Clinkz,Faceless Void,Mirana,Rubick,Ursa,Invoker,Jakiro,Dragon Knight,Bane,2
4587,Sniper,Lina,Treant Protector,Vengeful Spirit,Huskar,Lifestealer,Leshrac,Morphling,Slardar,Crystal Maiden,2
4588,Lone Druid,Enigma,Vengeful Spirit,Outworld Devourer,Kunkka,Invoker,Axe,Storm Spirit,Anti-Mage,Queen of Pain,1
4589,Gyrocopter,Slark,Warlock,Beastmaster,Lifestealer,Windrunner,Nyx Assassin,Enigma,Earthshaker,Lone Druid,1
4590,Disruptor,Slark,Clinkz,Shadow Demon,Nature's Prophet,Wisp,Keeper of the Light,Chaos Knight,Queen of Pain,Lifestealer,1
4591,Enigma,Dark Seer,Tinker,Crystal Maiden,Faceless Void,Pugna,Lone Druid,Queen of Pain,Shadow Demon,Lifestealer,1
4592,Pudge,Chaos Knight,Windrunner,Rubick,Ogre Magi,Magnus,Tiny,Troll Warlord,Shadow Shaman,Razor,2
4593,Invoker,Phantom Lancer,Razor,Warlock,Axe,Zeus,Shadow Shaman,Nyx Assassin,Ursa,Nature's Prophet,2
4594,Sand King,Chen,Tidehunter,Broodmother,Razor,Death Prophet,Phantom Lancer,Drow Ranger,Templar Assassin,Centaur Warrunner,2
4595,Beastmaster,Pudge,Lone Druid,Night Stalker,Lion,Enigma,Viper,Slark,Treant Protector,Ogre Magi,1
4596,Leshrac,Mirana,Skeleton King,Slark,Razor,Sand King,Naga Siren,Alchemist,Invoker,Venomancer,2
4597,Windrunner,Puck,Phantom Lancer,Pudge,Lifestealer,Batrider,Jakiro,Huskar,Disruptor,Juggernaut,2
4598,Pudge,Anti-Mage,Nyx Assassin,Tidehunter,Jakiro,Witch Doctor,Keeper of the Light,Chaos Knight,Bloodseeker,Alchemist,1
4599,Rubick,Kunkka,Centaur Warrunner,Tinker,Slark,Magnus,Ogre Magi,Clinkz,Lifestealer,Storm Spirit,1
4600,Bounty Hunter,Meepo,Axe,Pudge,Pugna,Necrolyte,Ogre Magi,Tiny,Juggernaut,Nyx Assassin,2
4601,Rubick,Beastmaster,Medusa,Slark,Vengeful Spirit,Anti-Mage,Outworld Devourer,Dark Seer,Venomancer,Mirana,2
4602,Silencer,Shadow Fiend,Dark Seer,Brewmaster,Disruptor,Faceless Void,Crystal Maiden,Axe,Puck,Invoker,2
4603,Treant Protector,Troll Warlord,Keeper of the Light,Drow Ranger,Shadow Demon,Queen of Pain,Riki,Razor,Enchantress,Zeus,1
4604,Alchemist,Night Stalker,Juggernaut,Batrider,Disruptor,Windrunner,Queen of Pain,Lifestealer,Clockwerk,Venomancer,2
4605,Luna,Treant Protector,Gyrocopter,Templar Assassin,Clockwerk,Nyx Assassin,Queen of Pain,Sven,Leshrac,Mirana,1
4606,Wisp,Slardar,Pudge,Tidehunter,Phantom Lancer,Night Stalker,Troll Warlord,Lifestealer,Riki,Nature's Prophet,1
4607,Witch Doctor,Invoker,Undying,Phantom Lancer,Queen of Pain,Nyx Assassin,Kunkka,Slark,Meepo,Keeper of the Light,1
4608,Windrunner,Timbersaw,Centaur Warrunner,Disruptor,Juggernaut,Phantom Lancer,Earthshaker,Bane,Mirana,Pudge,1
4609,Sven,Invoker,Nyx Assassin,Enchantress,Rubick,Axe,Bounty Hunter,Jakiro,Shadow Fiend,Razor,1
4610,Shadow Demon,Dark Seer,Nyx Assassin,Magnus,Sven,Chen,Juggernaut,Death Prophet,Tidehunter,Keeper of the Light,2
4611,Enigma,Luna,Bane,Sven,Sand King,Centaur Warrunner,Pudge,Bounty Hunter,Warlock,Spectre,2
4612,Centaur Warrunner,Dark Seer,Enchantress,Shadow Shaman,Luna,Viper,Lich,Vengeful Spirit,Morphling,Bounty Hunter,1
4613,Axe,Nyx Assassin,Morphling,Queen of Pain,Disruptor,Pudge,Anti-Mage,Bounty Hunter,Witch Doctor,Storm Spirit,1
4614,Phantom Assassin,Venomancer,Puck,Ursa,Luna,Tiny,Huskar,Magnus,Sand King,Drow Ranger,2
4615,Queen of Pain,Shadow Demon,Lycanthrope,Drow Ranger,Nyx Assassin,Earthshaker,Lone Druid,Necrolyte,Windrunner,Juggernaut,1
4616,Queen of Pain,Naga Siren,Nature's Prophet,Mirana,Lina,Venomancer,Enigma,Ursa,Clinkz,Storm Spirit,1
4617,Chaos Knight,Magnus,Bane,Wisp,Invoker,Luna,Warlock,Visage,Pudge,Lifestealer,2
4618,Shadow Demon,Lion,Clinkz,Batrider,Dazzle,Lycanthrope,Nature's Prophet,Naga Siren,Broodmother,Warlock,1
4619,Venomancer,Magnus,Phantom Lancer,Axe,Clockwerk,Omniknight,Gyrocopter,Bounty Hunter,Invoker,Nature's Prophet,1
4620,Crystal Maiden,Templar Assassin,Dark Seer,Kunkka,Magnus,Spirit Breaker,Vengeful Spirit,Ursa,Queen of Pain,Sven,2
4621,Shadow Fiend,Crystal Maiden,Naga Siren,Dark Seer,Enigma,Doom,Pudge,Venomancer,Clockwerk,Juggernaut,2
4622,Silencer,Dragon Knight,Rubick,Skeleton King,Shadow Demon,Bounty Hunter,Faceless Void,Tidehunter,Invoker,Witch Doctor,2
